Code,Name,Comune,Provincia,Regione,Row,Col,Lat (WGS84),Lon (WGS84),X (WGS84 UTM32N),Y (WGS84 UTM32N),Height
00019,,CARREGA LIGURE,ALESSANDRIA,PIEMONTE,21,0,"44,58750","9,133525",510599,4937137,"1120,7"
00020,,TORRIGLIA,GENOVA,LIGURIA,20,0,"44,54250","9,133525",510607,4932139,"985,3"
00021,,TORRIGLIA,GENOVA,LIGURIA,19,0,"44,49750","9,133525",510615,4927140,"773,0"
00052,,FORTUNAGO,PAVIA,LOMBARDIA,28,1,"44,90250","9,196575",515519,4972139,"456,6"
00053,,VAL DI NIZZA,PAVIA,LOMBARDIA,27,1,"44,85750","9,196575",515531,4967140,"649,2"
00057,PASSO DEL GIOVA',CABELLA LIGURE,ALESSANDRIA,PIEMONTE,23,1,"44,67750","9,196575",515580,4947145,"1312,9"
00058,CARTASEGNA,CARREGA LIGURE,ALESSANDRIA,PIEMONTE,22,1,"44,63250","9,196575",515592,4942146,"1207,2"
00059,,PROPATA,GENOVA,LIGURIA,21,1,"44,58750","9,196575",515604,4937148,"1156,6"
00060,,RONDANINA,GENOVA,LIGURIA,20,1,"44,54250","9,196575",515616,4932149,"929,3"
00061,,TORRIGLIA,GENOVA,LIGURIA,19,1,"44,49750","9,196575",515628,4927151,"868,1"
00062,,NEIRONE,GENOVA,LIGURIA,18,1,"44,45250","9,196575",515640,4922152,"612,2"
00091,CASEO,ROCCA DE' GIORGI,PAVIA,LOMBARDIA,29,2,"44,94750","9,259625",520481,4977151,"372,2"
00092,RUINO,ZAVATTARELLO,PAVIA,LOMBARDIA,28,2,"44,90250","9,259625",520497,4972153,"465,5"
00093,,ZAVATTARELLO,PAVIA,LOMBARDIA,27,2,"44,85750","9,259625",520513,4967154,"635,9"
00094,,MENCONICO,PAVIA,LOMBARDIA,26,2,"44,81250","9,259625",520529,4962155,"769,6"
00095,CEGNI,SANTA MARGHERITA DI STAFFORA,PAVIA,LOMBARDIA,25,2,"44,76750","9,259625",520545,4957156,"836,7"
00096,BRALLO,BRALLO DI PREGOLA,PAVIA,LOMBARDIA,24,2,"44,72250","9,259625",520561,4952157,"985,6"
00097,VEZIMO,ZERBA,PIACENZA,EMILIA-ROMAGNA,23,2,"44,67750","9,259625",520577,4947159,"1079,9"
00098,BELNOME,OTTONE,PIACENZA,EMILIA-ROMAGNA,22,2,"44,63250","9,259625",520593,4942160,"1081,8"
00099,FONTANAROSSA,GORRETO,GENOVA,LIGURIA,21,2,"44,58750","9,259625",520609,4937162,"852,8"
00100,,MONTEBRUNO,GENOVA,LIGURIA,20,2,"44,54250","9,259625",520625,4932163,"794,4"
00101,,MONTEBRUNO,GENOVA,LIGURIA,19,2,"44,49750","9,259625",520640,4927165,"985,8"
00102,,FAVALE DI MALVARO,GENOVA,LIGURIA,18,2,"44,45250","9,259625",520656,4922166,"663,5"
00129,,MONTU' BECCARIA,PAVIA,LOMBARDIA,31,3,"45,03750","9,322675",525415,4987167,"170,8"
00130,SANTA MARIA DELLA VERSA,SANTA MARIA DELLA VERSA,PAVIA,LOMBARDIA,30,3,"44,99250","9,322675",525435,4982168,"259,4"
00131,STADERA,VOLPARA,PAVIA,LOMBARDIA,29,3,"44,94750","9,322675",525455,4977169,"478,7"
00132,NIBBIANO,PECORARA,PIACENZA,EMILIA-ROMAGNA,28,3,"44,90250","9,322675",525475,4972170,"421,9"
00133,ROMAGNESE,ROMAGNESE,PAVIA,LOMBARDIA,27,3,"44,85750","9,322675",525495,4967172,"684,5"
00134,CANEDO,ROMAGNESE,PAVIA,LOMBARDIA,26,3,"44,81250","9,322675",525515,4962173,"952,9"
00135,CECI,BOBBIO,PIACENZA,EMILIA-ROMAGNA,25,3,"44,76750","9,322675",525534,4957174,"891,3"
00136,FELIGARA,BRALLO DI PREGOLA,PAVIA,LOMBARDIA,24,3,"44,72250","9,322675",525554,4952175,"850,4"
00137,ZERBA,CERIGNALE,PIACENZA,EMILIA-ROMAGNA,23,3,"44,67750","9,322675",525574,4947177,"652,9"
00138,OTTONE,OTTONE,PIACENZA,EMILIA-ROMAGNA,22,3,"44,63250","9,322675",525594,4942178,"722,1"
00139,PIETRANERA,ROVEGNO,GENOVA,LIGURIA,21,3,"44,58750","9,322675",525614,4937179,"936,5"
00140,,ROVEGNO,GENOVA,LIGURIA,20,3,"44,54250","9,322675",525633,4932181,"1056,9"
00141,,REZZOAGLIO,GENOVA,LIGURIA,19,3,"44,49750","9,322675",525653,4927182,"984,8"
00142,,BORZONASCA,GENOVA,LIGURIA,18,3,"44,45250","9,322675",525673,4922184,"891,7"
00168,RIPALDINA,ARENA PO,PAVIA,LOMBARDIA,32,4,"45,08250","9,385725",530357,4992188,"67,5"
00169,GANAGHELLO,CASTEL SAN GIOVANNI,PIACENZA,EMILIA-ROMAGNA,31,4,"45,03750","9,385725",530381,4987189,"121,2"
00170,ZIANO PIACENTINO OVEST,ZIANO PIACENTINO,PIACENZA,EMILIA-ROMAGNA,30,4,"44,99250","9,385725",530405,4982190,"230,7"
00171,TREVOZZO,NIBBIANO,PIACENZA,EMILIA-ROMAGNA,29,4,"44,94750","9,385725",530429,4977191,"286,0"
00172,ROCCA D'OLGISIO,PIANELLO VAL TIDONE,PIACENZA,EMILIA-ROMAGNA,28,4,"44,90250","9,385725",530453,4972192,"446,2"
00173,PECORARA,PECORARA,PIACENZA,EMILIA-ROMAGNA,27,4,"44,85750","9,385725",530476,4967193,"632,3"
00174,CADEMONTE,BOBBIO,PIACENZA,EMILIA-ROMAGNA,26,4,"44,81250","9,385725",530500,4962194,"686,5"
00175,BOBBIO,BOBBIO,PIACENZA,EMILIA-ROMAGNA,25,4,"44,76750","9,385725",530524,4957196,"438,0"
00176,MARSAGLIA,CORTE BRUGNATELLA,PIACENZA,EMILIA-ROMAGNA,24,4,"44,72250","9,385725",530547,4952197,"563,8"
00177,OZZOLA,CORTE BRUGNATELLA,PIACENZA,EMILIA-ROMAGNA,23,4,"44,67750","9,385725",530571,4947198,"686,0"
00178,SELVA,CERIGNALE,PIACENZA,EMILIA-ROMAGNA,22,4,"44,63250","9,385725",530595,4942200,"842,5"
00179,OREZZOLI,OTTONE,PIACENZA,EMILIA-ROMAGNA,21,4,"44,58750","9,385725",530618,4937201,"1080,9"
00180,,REZZOAGLIO,GENOVA,LIGURIA,20,4,"44,54250","9,385725",530642,4932203,"910,2"
00181,,REZZOAGLIO,GENOVA,LIGURIA,19,4,"44,49750","9,385725",530666,4927204,"1084,1"
00208,BOSCO TOSCA,CASTEL SAN GIOVANNI,PIACENZA,EMILIA-ROMAGNA,32,5,"45,08250","9,448775",535320,4992213,"56,0"
00209,CASTEL S.GIOVANNI,BORGONOVO VAL TIDONE,PIACENZA,EMILIA-ROMAGNA,31,5,"45,03750","9,448775",535347,4987214,"90,0"
00210,ZIANO PIACENTINO EST,BORGONOVO VAL TIDONE,PIACENZA,EMILIA-ROMAGNA,30,5,"44,99250","9,448775",535375,4982215,"140,3"
00211,PIANELLO VAL TIDONE,PIANELLO VAL TIDONE,PIACENZA,EMILIA-ROMAGNA,29,5,"44,94750","9,448775",535403,4977217,"276,4"
00212,AZZANO,PIOZZANO,PIACENZA,EMILIA-ROMAGNA,28,5,"44,90250","9,448775",535430,4972218,"453,0"
00213,SEVIZZANO,PECORARA,PIACENZA,EMILIA-ROMAGNA,27,5,"44,85750","9,448775",535458,4967219,"628,8"
00214,CASSOLO,BOBBIO,PIACENZA,EMILIA-ROMAGNA,26,5,"44,81250","9,448775",535485,4962220,"404,3"
00215,PIANCASALE,COLI,PIACENZA,EMILIA-ROMAGNA,25,5,"44,76750","9,448775",535513,4957221,"863,9"
00216,CORNARO,COLI,PIACENZA,EMILIA-ROMAGNA,24,5,"44,72250","9,448775",535541,4952223,"1025,1"
00217,BRUGNETO,FERRIERE,PIACENZA,EMILIA-ROMAGNA,23,5,"44,67750","9,448775",535568,4947224,"1069,2"
00218,PASSO DEL MERCATELLO,FERRIERE,PIACENZA,EMILIA-ROMAGNA,22,5,"44,63250","9,448775",535596,4942225,"1002,5"
00219,CASTAGNOLA,FERRIERE,PIACENZA,EMILIA-ROMAGNA,21,5,"44,58750","9,448775",535623,4937227,"1197,9"
00220,SANTO STEFANO D'AVETO,SANTO STEFANO D'AVETO,GENOVA,LIGURIA,20,5,"44,54250","9,448775",535651,4932228,"1074,5"
00221,AMBORZASCO,SANTO STEFANO D'AVETO,GENOVA,LIGURIA,19,5,"44,49750","9,448775",535678,4927230,"1228,9"
00222,RIFUGIO PRATO MOLLO,BORZONASCA,GENOVA,LIGURIA,18,5,"44,45250","9,448775",535706,4922231,"1005,7"
00223,PASSO DEL BOCCO,MEZZANEGO,GENOVA,LIGURIA,17,5,"44,40750","9,448775",535733,4917233,"910,3"
00247,CHIGNOLO PO,MONTICELLI PAVESE,PAVIA,LOMBARDIA,33,6,"45,12750","9,511825",540250,4997242,"48,9"
00248,PRIMA ANSA PO,SARMATO,PIACENZA,EMILIA-ROMAGNA,32,6,"45,08250","9,511825",540282,4992243,"52,4"
00249,AGAZZINO,BORGONOVO VAL TIDONE,PIACENZA,EMILIA-ROMAGNA,31,6,"45,03750","9,511825",540313,4987244,"74,0"
00250,TAVERNAGO,AGAZZANO,PIACENZA,EMILIA-ROMAGNA,30,6,"44,99250","9,511825",540345,4982245,"103,6"
00251,AGAZZANO,AGAZZANO,PIACENZA,EMILIA-ROMAGNA,29,6,"44,94750","9,511825",540376,4977246,"206,4"
00252,MONTEVENTANO,GAZZOLA,PIACENZA,EMILIA-ROMAGNA,28,6,"44,90250","9,511825",540408,4972247,"398,4"
00253,BOBBIANO,TRAVO,PIACENZA,EMILIA-ROMAGNA,27,6,"44,85750","9,511825",540439,4967248,"362,2"
00254,PERINO,TRAVO,PIACENZA,EMILIA-ROMAGNA,26,6,"44,81250","9,511825",540471,4962250,"384,5"
00255,PICCOLI,BETTOLA,PIACENZA,EMILIA-ROMAGNA,25,6,"44,76750","9,511825",540502,4957251,"713,0"
00256,PRADOVERA,FARINI,PIACENZA,EMILIA-ROMAGNA,24,6,"44,72250","9,511825",540534,4952252,"938,6"
00257,CENTENARO,FERRIERE,PIACENZA,EMILIA-ROMAGNA,23,6,"44,67750","9,511825",540565,4947253,"911,4"
00258,FERRIERE,FERRIERE,PIACENZA,EMILIA-ROMAGNA,22,6,"44,63250","9,511825",540597,4942255,"880,9"
00259,MONTE RAGOLA,FERRIERE,PIACENZA,EMILIA-ROMAGNA,21,6,"44,58750","9,511825",540628,4937256,"1235,2"
00260,MONTE MAGGIORASCA,BEDONIA,PARMA,EMILIA-ROMAGNA,20,6,"44,54250","9,511825",540659,4932258,"1336,7"
00261,MONTE PENNA,BEDONIA,PARMA,EMILIA-ROMAGNA,19,6,"44,49750","9,511825",540691,4927259,"1202,3"
00262,S.MARIA DEL TARO,TORNOLO,PARMA,EMILIA-ROMAGNA,18,6,"44,45250","9,511825",540722,4922261,"1033,0"
00263,CODIVARA,VARESE LIGURE,LA SPEZIA,LIGURIA,17,6,"44,40750","9,511825",540753,4917262,"759,9"
00287,SENNA LODIGIANA,SENNA LODIGIANA,LODI,LOMBARDIA,33,7,"45,12750","9,574875",545208,4997275,"48,9"
00288,CALENDASCO,CALENDASCO,PIACENZA,EMILIA-ROMAGNA,32,7,"45,08250","9,574875",545244,4992276,"52,8"
00289,ROTTOFRENO,GRAGNANO TREBBIENSE,PIACENZA,EMILIA-ROMAGNA,31,7,"45,03750","9,574875",545279,4987277,"66,6"
00290,CASALIGGIO,GRAGNANO TREBBIENSE,PIACENZA,EMILIA-ROMAGNA,30,7,"44,99250","9,574875",545315,4982278,"89,1"
00291,GAZZOLA,GAZZOLA,PIACENZA,EMILIA-ROMAGNA,29,7,"44,94750","9,574875",545350,4977279,"148,4"
00292,RIVERGARO OVEST,TRAVO,PIACENZA,EMILIA-ROMAGNA,28,7,"44,90250","9,574875",545386,4972280,"269,8"
00293,CASTELLO DI MONTECHIARO,TRAVO,PIACENZA,EMILIA-ROMAGNA,27,7,"44,85750","9,574875",545421,4967282,"394,0"
00294,MONTE BARBIERI,BETTOLA,PIACENZA,EMILIA-ROMAGNA,26,7,"44,81250","9,574875",545456,4962283,"569,0"
00295,PASSO DEL CERRO,BETTOLA,PIACENZA,EMILIA-ROMAGNA,25,7,"44,76750","9,574875",545492,4957284,"656,1"
00296,FARINI,FARINI,PIACENZA,EMILIA-ROMAGNA,24,7,"44,72250","9,574875",545527,4952285,"703,8"
00297,GROPPALLO,FARINI,PIACENZA,EMILIA-ROMAGNA,23,7,"44,67750","9,574875",545562,4947287,"632,3"
00298,CASSIMORENGA,FERRIERE,PIACENZA,EMILIA-ROMAGNA,22,7,"44,63250","9,574875",545598,4942288,"965,5"
00299,CORNOLO,BARDI,PARMA,EMILIA-ROMAGNA,21,7,"44,58750","9,574875",545633,4937290,"1121,3"
00300,DRUSCO,BEDONIA,PARMA,EMILIA-ROMAGNA,20,7,"44,54250","9,574875",545668,4932291,"942,0"
00301,CANESO,BEDONIA,PARMA,EMILIA-ROMAGNA,19,7,"44,49750","9,574875",545703,4927292,"924,9"
00302,CASALE,TORNOLO,PARMA,EMILIA-ROMAGNA,18,7,"44,45250","9,574875",545738,4922294,"887,1"
00303,MONTE ZUCCONE,VARESE LIGURE,LA SPEZIA,LIGURIA,17,7,"44,40750","9,574875",545773,4917296,"692,9"
00327,VALLORIA,SOMAGLIA,LODI,LOMBARDIA,33,8,"45,12750","9,637925",550167,4997312,"47,8"
00328,PIACENZA OVEST,CALENDASCO,PIACENZA,EMILIA-ROMAGNA,32,8,"45,08250","9,637925",550206,4992313,"47,8"
00329,S.ANTONIO TREBBIA,PIACENZA,PIACENZA,EMILIA-ROMAGNA,31,8,"45,03750","9,637925",550245,4987314,"64,6"
00330,GOSSOLENGO,GOSSOLENGO,PIACENZA,EMILIA-ROMAGNA,30,8,"44,99250","9,637925",550285,4982315,"87,8"
00331,OTTAVELLO,RIVERGARO,PIACENZA,EMILIA-ROMAGNA,29,8,"44,94750","9,637925",550324,4977317,"120,6"
00332,RIVERGARO EST,RIVERGARO,PIACENZA,EMILIA-ROMAGNA,28,8,"44,90250","9,637925",550363,4972318,"214,8"
